code,glb,eng,epo,deu,fra,rus,spa,zho,nld,fry,por
search worldlang placeholder,,Globasa Search,Globasa-lingva serĉo,,Recherche en globasa,,Busqueda en Globasa,,Zoeken in het Globasa,Sykje yn it Globasa,
search button,,Search,Serĉi,,Rechercher,,Buscar,,Zoeken,Sykje,
word classes link,,Word Classes,Vortospecoj,,Natures des mots,,Clases de palabras,,,,
random word button,,Random Word,Hazarda vorto,,Mot au hasard,,Palabra al azar,,Willekeurig woord,Willekeurich wurd,
all words button,Lexili listalari,Vocabulary Lists,Vortlistoj,,Listes de vocabulaire,,Listas de vocabulario,,Woordenlijsten,Wurdlisten,
tools button,Tul,Admin Tools,Estraraj Iloj,,Outils d’administration,,Herramientas administrativas,,,,
language button,,Language,Lingvo,,Langue,,Idioma,,Taal,Taal,
more button,,More,Pli,,Plus,,Más,,Meer,Mear,
globasa link,,Globasa,Globasa,,Globasa,,Globasa,,Globasa,Globasa,
github link,,GitHub,GitHub,,GitHub,,GitHub,,GitHub,GitHub,
report link,,Report problems,Atentigi pri problemo,,Signaler un problème,,Reportar problemas,,,,
api link,,API,API,,API,,API,,API,API,
Word display,,,,,,,,,,,
Also See List,,See also:,Vidu ankaŭ:,,Voir aussi :,,Véase también:,,Zie ook:,Sjoch ek:,Veja também:
Also See Sentence,,<strong>See also</strong>: %1$s,<strong>Vidu ankaŭ</strong>: %1$s,,Voir aussi %1$s.,,<strong>Véase también</strong>: %1$s,,<strong>Zie ook</strong>: %1$s,<strong>Sjoch ek</strong>: %1$s,Veja também %1$s
etymology link,Am oko exli linkutul,See external link.,Vidu ekstera ligilo.,,Voir lien externe,,Véase enlace externo.,,,,
synonym sentence,,<strong>Synonym</strong>: %1$s,<strong>Sinonimo</strong>: %1$s,,<strong>Synonyme</strong> : %1$s,,<strong>Sinónimo</strong>: %1$s,,,,
synonyms sentence,,<strong>Synonyms</strong>: %1$s,<strong>Sinonimoj</strong>: %1$s,,<strong>Synonymes</strong> : %1$s,,<strong>Sinónimos</strong>: %1$s,,,,
antonym sentence,,<strong>Antonym</strong>: %1$s,<strong>Antonimo</strong>: %1$s,,<strong>Antonyme</strong> : %1$s,,<strong>Antónimo</strong>: %1$s ,,,,
antonyms sentence,,<strong>Antonyms</strong>: %1$s,<strong>Antonimoj</strong>: %1$s,,<strong>Antonymes</strong> : %1$s,,<strong>Antónimos</strong>: %1$s,,,,
compare with sentence,,(<strong>Compare with</strong>: %1$s), (<strong>Komparu kun</strong>: %1$s),,(<strong>Comparer avec</strong> : %1$s),,(<strong>Comparar con</strong>: %1$s),,,,
Example,,<strong>Example</strong>: <em>%1$s</em>,<strong>Ekzemplo</strong>: <em>%1$s</em>,,<strong>Exemple</strong> : <em>%1$s</em>,,<strong>Ejemplo</strong>: <em>%1$s</em>,,,,
Word Link,,word link,ligilo al vorto,,lien du mot,,enlace de palabra,,woordlink,wurdkeppeling,link da palavra
Word Not Found Title,,Word Not Found,Vorto ne trovita,,Mot non trouvé,,Esta palabra no aparece en el diccionario.,,Woord niet gevonden,Wurd net fûn,Palavra não encontrada
word class,,<strong>Word class</strong>: <em>%1$s</em>,<strong>Vortospeco</strong>: <em>%1$s</em>,,<strong>Nature</strong> : <em>%1$s</em>,,<strong>Clase de palabra</strong>: <em>%1$s</em>,,,,
ipa link,,pronunciation,prononco,,Écouter,,pronunciación,,,,
Word Not Found Explanation,,The word ‘%1$s’ was not found in the English word list.,La vorto ‘%1$s’ ne estis trovita en la Esperanta vortolisto.,,Le mot « %1$s » n’a pas été trouvé dans la liste de mots en français.,,La palabra ‘%1$s’ no aparece en la lista de palabras en español.,,Het woord ‘%1$s’ was niet gevonden in de %2$s woordenlijst.,It wurd ‘%1$s’ wie net fûn yn de %2$s wurdlist.,A palavra '%1$s' não foi encontrada na lista de palavras em português
natlang search title bar,,English to Globasa,Esperanto al Globasa,,Français vers Globasa,,español a Globasa,,,,
tags title,,Vocabulary Lists,Vortlistoj,,Listes de vocabulaire,,Listas de vocabulario,,,,
tags links,,<strong>Vocabulary Lists</strong>: %1$s,<strong>Vortlistoj</strong>: %1$s,,<strong>Listes de vocabulaire</strong> : %1$s,,<strong>Listas de vocabulario</strong>: %1$s,,,,
status archaic,guxi,Archaic Root Word,Arkaika radiko,,Racine archaïque,,Raíz obsoleta,,,,
status official,resmi,Official Root Word,Oficiala radiko,,Racine officielle,,Raíz oficial,,,,
status tentative,leferesmi,Tentative Root Word,Prova radiko,,Racine à l’essai,,Raíz provisional,,,,
Tools,,,,,,,,,,,
homonym terminator title,,Find homonyms,Serĉado de homonimoj,,Recherche d’homonymes,,Busqueda de homónimos,,,,
homonym terminator description,,Find identical word pairs that would be generated with the introduction of candidate root word.,Trovu parojn de samformaj vortoj kiuj ekzistus per la aldono de nova kandidata radiko.,,Détecte des paires de mots identiques qui seraient créées en introduisant une nouvelle racine potentielle.,,Encuentre pares de palabras idénticas que se generarían al aprobar la palabra raíz candidata. ,,,,
homonym terminator new placeholder,,Enter candidate word,Entajpu kandidatan vorton,,Saisir le mot potentiel,,Introducir palabra candidata,,,,
homonym terminator new button,,Find pairs,Trovi parojn,,Trouver les paires,,Encontrar pares,,,,
homonym terminator conflicting msg,,conflicting words:,konfliktaj vortoj:,,mots en conflit :,,Palabras en conflicto:,,,,
homonym terminator none found,,No potential homonyms detected,Neniu ebla homonimo detektita,,Aucun homonyme potentiel détecté,,No se detectó ningún posible homónimo.,,,,
homonym terminator word exists title,,Already exists,Jam ekzistanta.,,Déjà existant.,,Ya existe,,,,
homonym terminator word exists,,The word %1$s already exists.,La vorto %1$s jam ekzistas.,,Le mot %1$s existe déjà.,,La palabra %1$s ya existe.,,,,
minimum pair title,,Find minimal pairs,Serĉado de minimumaj paroj,,Recherche de paires minimales,,Busqueda de pares mínimos,,,,
minimum pair description,,Find words that are too similar to candidate root word.,Trovu vortojn kiuj estas tro similaj al kandidata radiko.,,Détecte des monts qui sont trop proches de la nouvelle racine potentielle.,,Encuentre palabras que sean demasiado similares a la palabra raíz candidata. ,,,,
minimum pair new placeholder,,Enter candidate word,Entajpu kandidatan vorton,,Saisir le mot potentiel,,Introducir palabra candidata,,,,
minimum pair new button,,"Generate pairs
",Generi parojn,,Trouver les paires.,,Generar pares,,,,
minimum pair result diff,,Pairs with a difference of %1$s letter(s):,Paroj kun malsameco de %1$s litero(j):,,Paires avec une différence de %1$s lettre(s) :,,Pares con una diferencia de %1$s letra(s):,,,,
candidate check title,,Candidate Word Check,Kontrolo de kandidata vorto,,Vérification du mot potentiel,,Probar palabra candidata,,,,
candidate check placeholder,,Candidate Word,Kandidata vorto,,Mot potentiel,,Palabra candidata,,,,
candidate check button,,Check,Kontroli,,Vérifier,,Probar ,,,,
candidate check description,,Check for homonyms or minimal pairs.,Kontrolado pri homonimoj aŭ minimumaj paroj,,Vérification d’homonymes et de paires minimales.,,Prueba de posibles homónimos o pares mínimos.,,,,
none found,,None found,Neniu trovita,,Rien trouvé,,Ninguno ,,,,
translation aide title,,Translation Aide,Tradukohelpilo,,Aide à la traduction,,Asistente de traducción,,,,
translation aide description,,Experimental translation aide. Enter Globasa text and this tool will look up each word. Good for getting the translation for each word in an entire sentence or paragraph at once.,Eksperimenta traduka helpilo. Entajpu tekston en Globasa lingvo kaj la ilo serĉos ĉiujn vortojn. Bona ilo por tuj ekhavi tradukon de ĉiuj vortoj en frazo aŭ paragrafo en unu fojo. ,,En phase expérimentale. Saisissez un texte en globasa et cet outil recherchera les traductions de chaque mot. C’est un bon moyen d’avoir toutes les traductions au sein d’une phrase ou d’un paragraphe en une seule fois.,,Asistente de traducción experimental. Introduzca el texto en Globasa y esta herramienta buscará cada palabra. La herramienta sirve para obtener la traducción de cada palabra en una oración o párrafo completo a la vez. ,,,,
translation aide translate button,,Get translations,Ekhavi tradukojn,,Obtenir les traductions,,Obtener traducciones,,,,
ipa converter title,,IPA Converter,Konvertilo al IFA,,,,Convertidor de AFI,,,,
ipa converter description,,Convert Globasa text into IPA for text-to-speech applications.,Konvertu Globasan tekston al IFA por teksto-al-parolaj aplikoj.,,,,Convierta texto en Globasa en AFI para aplicaciones de texto a voz.,,,,
ipa converter instructions,,Enter the Globasa text below and click convert for IPA:,,,,,,,,,
ipa converter input placeholder,,Enter Globasa text here.,,,,,,,,,
ipa converter button,,Convert to IPA,,,,,,,,,
ipa converter-ssml button,,Convert to SSML,,,,,,,,,
ipa converter output label,,Text in IPA:,,,,,,,,,
ipa converter ipa placeholder,,IPA transliteration will appear here.,,,,,,,,,
Search view,,,,,,,,,,,
search result title,,Search Results,Serĉorezultoj,,Résultats de recherche,,Resultados de busqueda,,,,
no matches found,,No words match your search.,Neniu vorto kongruis kun via serĉo.,,Aucun mot ne correspond à votre recherche.,,Ninguna palabra coincide con su búsqueda. ,,,,
index view,,,,,,,,,,,
Feedback View,,,,,,,,,,,
feedback title,,Feedback / Report,Reteja atentigo,,Commentaires,,Comentario / Reporte,,,,
email?,,Your email:,Via retpoŝtadreso:,,Votre mél :,,Su dirección de correo electrónico,,,,
subject?,,Subject:,Temo:,,Sujet :,,Asunto,,,,
message?,,Your message:,Via mesaĝo:,,Votre courriel :,,Mensaje,,,,
feedback send button,,Send,Sendi,,Envoyer,,Enviar,,,,
feedback site error,,Website tech error,Teknologia eraro,,Erreur sur le site internet,,Error de tecnología,,,,
feedback lang sug,,Website content error,Enhava eraro,,Suggestion linguistique,,Error de contenido,,,,
feedback other,,Other / not sure,Alia / ne certa,,Autre / incertain,,Otro ,,,,
Alphabetical Dictionary View,,,,,,,,,,,
browse title,Abeceli Menalari,Alphabetical Dictionary,Alfabeta Vortaro,,,,Diccionario alfabético,,,,
browse filters header,Filtro,Filters,Filtroj,,,,Filtros,,,,
browse filter by letter header,,First letter,Unua litero,,,,Primera letra,,,,
browse filter by class header,,Word class,,,,,,,,,
browse filter by category header,,Entry Category,Era Kategorio,,,,Categoría de entrada,,,,
Linguistic terms,,,,,,,,,,,
affix,,affix,afikso,,,,afijo,,,,
affixes,,affixes,,,,,,,,,
root,,root word,radiko,,,,palabra raíz,,,,
roots,,roots,,,,,,,,,
proper noun,,proper word,propra vorto,,,,palabra propia,,,,
proper word,,proper word,propra vorto,,,,palabra propia,,,,
proper nouns,,proper nouns,,,,,,,,,
phrase,,phrase,frazero,,,,frase,,,,
phrases,,phrases,,,,,,,,,
derived word,,derived word,kunmetaĵo,,,,palabra derivada,,,,
derived words,,derived,,,,,,,,,
category all,,all,ĉiuj,,,,todas,,,,
letter all,,all,ĉiuj,,,,todas,,,,
Word Classes,,,,,,,,,,,
Content Words,Content Words,,,,,,,,,,
f,falelexi (f) - verb (v),,,,,,,,,,
f.lin,linkuli falelexi (f.lin) - copula (v.cop),,,,,,,,,,
ojetoli falelexi (f.oj) - transitive verb (v.tr),ojetoli falelexi (f.oj) - transitive verb (v.tr),,,,,,,,,,
nenojetoli falelexi (f.nenoj) - intransitive verb (v.intr),nenojetoli falelexi (f.nenoj) - intransitive verb (v.intr),,,,,,,,,,
oroojetoli falelexi (f.oro) - ambitransitive verb (v.ambi),oroojetoli falelexi (f.oro) - ambitransitive verb (v.ambi),,,,,,,,,,
aksyonli orofalelexi (f.oro.a) - agentive ambitransitive verb (v.ambi.a),aksyonli orofalelexi (f.oro.a) - agentive ambitransitive verb (v.ambi.a),,,,,,,,,,
beaksyonli orofalelexi (f.oro.b) - patientive ambitransitive verb (v.ambi.p),beaksyonli orofalelexi (f.oro.b) - patientive ambitransitive verb (v.ambi.p),,,,,,,,,,
sahayli falelexi (f.sah) - auxiliary verb (v.aux),sahayli falelexi (f.sah) - auxiliary verb (v.aux),,,,,,,,,,
manerlexi (m) - adverb (adv),manerlexi (m) - adverb (adv),,,,,,,,,,
namelexi (n) - noun (n),namelexi (n) - noun (n),,,,,,,,,,
pornamelexi (pn) - pronoun (pron),pornamelexi (pn) - pronoun (pron),,,,,,,,,,
suyali pornamelexi (su pn) - possessive pronoun (poss pron),suyali pornamelexi (su pn) - possessive pronoun (poss pron),,,,,,,,,,
suli namelexi (su n) - proper noun (prop n),suli namelexi (su n) - proper noun (prop n),,,,,,,,,,
sifalexi (s) - adjective (adj),sifalexi (s) - adjective (adj),,,,,,,,,,
suyali sifalexi (su s) - possessive adjective (poss adj),suyali sifalexi (su s) - possessive adjective (poss adj),,,,,,,,,,
tosifulexi (t) - adjective/adverb (adj/adv),tosifulexi (t) - adjective/adverb (adj/adv),,,,,,,,,,
Function Words,Function Words,,,,,,,,,,
dingyalexi (d) - determiner (det),dingyalexi (d) - determiner (det),,,,,,,,,,
intrelogalexi (il) - interjection (interj),intrelogalexi (il) - interjection (interj),,,,,,,,,,
linkulexi (l) - conjunction (conj),linkulexi (l) - conjunction (conj),,,,,,,,,,
numer (num) - number (num),numer (num) - number (num),,,,,,,,,,
partikul (par) - particle (part),partikul (par) - particle (part),,,,,,,,,,
plasilexi (p) - adposition (adp),plasilexi (p) - adposition (adp),,,,,,,,,,
lefeplasilexi (lp) - preposition (prep),lefeplasilexi (lp) - preposition (prep),,,,,,,,,,
xafeplasilexi (xp) - postposition (postp),xafeplasilexi (xp) - postposition (postp),,,,,,,,,,
Affixes,Affixes,,,,,,,,,,
fikso (fik) - affix (afx),fikso (fik) - affix (afx),,,,,,,,,,
lefefikso (lfik) - prefix (pfx),lefefikso (lfik) - prefix (pfx),,,,,,,,,,
xafefikso (xfik) - suffix (sfx),xafefikso (xfik) - suffix (sfx),,,,,,,,,,
Phrases,Phrases,,,,,,,,,,
jumlemon (jm) - phrase (phrs),jumlemon (jm) - phrase (phrs),,,,,,,,,,
plasilexili jumlemon (p jm) - prepositional phrase (prep phrs),plasilexili jumlemon (p jm) - prepositional phrase (prep phrs),,,,,,,,,,
jumlemonli plasilexi (jm p) - phrasal preposition (phrs prep),jumlemonli plasilexi (jm p) - phrasal preposition (phrs prep),,,,,,,,,,
falelexili jumlemon (f jm) - verb phrase (v phrs),falelexili jumlemon (f jm) - verb phrase (v phrs),,,,,,,,,,
